Rank,City,Country,2020,2019,Change
429,Pekan Baru,Indonesia,1204883,1171388,2.86
430,Maoming,China,1204716,11342,2.94
431,Maracay,Venezuela,1203227,11295,1.09
432,Freetown,Sierra Leone,1201900,1168424,2.87
433,Tanger,Morocco,1197923,1156739,3.56
434,Moradabad,India,1197000,1161757,3.03
435,Liuan,China,1195907,1129312,5.90
436,Tengzhou,China,1189963,11479,4.19
437,Zhuzhou,China,1186912,1165486,1.84
438,Omsk,Russia,1182339,1183262,-0.08
439,Zhenjiang Jiangsu,China,1173816,1148451,2.21
440,Mendoza,Argentina,1172619,1153152,1.69
441,Suzhou,China,1169932,11154,4.55
442,Liuyang,China,1169044,94294,6.83
443,Ruian,China,1168983,1128967,3.54
444,Chiang Mai,Thailand,1166978,11511,1.36
445,Astana,Kazakhstan,1165983,1117621,4.33
446,Tripoli,Libya,1165085,11918,0.36
447,Chifeng,China,1164793,1134936,2.63
448,Tiruchirappalli,India,1164668,1148865,1.38
449,Baoji,China,1164665,1131222,2.96
450,Samara,Russia,1163296,1166932,-0.31
451,Bhubaneswar,India,1162886,1131484,2.78
452,Merida,Mexico,1161475,1141555,1.74
453,Puning,China,1160045,1127512,2.89
454,Pingdingshan Henan,China,1159981,1126438,2.98
455,Bogor,Indonesia,1159719,1136981,2.00
456,Benxi,China,1157413,1139256,1.59
457,Amsterdam,Netherlands,1148972,11339,0.76
458,Chandigarh,India,1148472,1128743,1.75
459,Haifa,Israel,1147431,11844,0.58
460,Jieyang,China,1146758,976,4.47
461,Jinzhou,China,1145359,1122681,2.02
462,Xiangtan Hunan,China,1142976,1115751,2.44
463,Nanyang Henan,China,1142799,11155,2.47
464,Huaibei,China,1141734,18939,2.96
465,Krasnoyarsk,Russia,1137494,1124674,1.14
466,Ufa,Russia,1136291,1132656,0.32
467,Rostov On Don,Russia,1136201,1135196,0.09
468,Uyo,Nigeria,1135775,72932,5.86
469,Guilin,China,1134393,1114826,1.76
470,Kigali,Rwanda,1132101,94796,3.41
471,Islamabad,Pakistan,1129198,964,3.12
472,Da Nang,Vietnam,1125316,94576,2.81
473,Jinhua,China,1122440,73355,4.57
474,Lilongwe,Malawi,1121720,74695,4.38
475,Mexicali,Mexico,1120872,11419,1.77
476,Mwanza,Tanzania,1120430,743,5.63
477,Cologne,Germany,1118789,17731,1.00
478,Guwahati,India,1116740,99613,1.56
479,Hubli Dharwad,India,1116728,97545,1.75
480,Kaduna,Nigeria,1113210,966,1.50
481,Maputo,Mozambique,1110477,14314,0.56
482,Aguascalientes,Mexico,1106453,841,1.69
483,San Salvador,El Salvador,1105766,15662,0.01
484,Salem,India,1102463,81911,1.90
485,Quetta,Pakistan,1099546,245,2.74
486,Bandar Lampung,Indonesia,1091512,68768,2.13
487,Zaozhuang,China,1087745,74933,1.19
488,Yerevan,Armenia,1086275,83323,0.27
489,Binzhou,China,1083867,42112,4.01
490,Yongin,South Korea,1083345,61544,2.05
491,Aba,Nigeria,1081466,517,2.90
492,Xinxiang,China,1081031,62361,1.76
493,Bukavu,Dr Congo,1078002,24513,5.22
494,Tbilisi,Georgia,1077833,77346,0.05
495,Liupanshui,China,1077317,21347,5.48
496,Cuernavaca,Mexico,1075022,592,1.50
497,Perm,Russia,1071419,66952,0.42
498,Goyang,South Korea,1069196,54325,1.41
499,Voronezh,Russia,1067719,631,0.54
500,Managua,Nicaragua,1063698,55472,0.78
501,Pizhou,China,1063231,736,5.19
502,Lille,France,1063085,58458,0.44
503,Cartagena,Colombia,1062622,54694,0.75
504,Yueqing,China,1060702,21693,3.82
505,Shimkent,Kazakhstan,1057936,4,3.66
506,Tasikmalaya,Indonesia,1056485,9998,5.70
507,Abomey Calavi,Benin,1056440,99,6.60
508,Changwon,South Korea,1055974,57734,-0.17
509,Chihuahua,Mexico,1054766,33378,2.07
510,Saharanpur,India,1054102,12993,4.06
511,Jalandhar,India,1053670,33756,1.93
512,Panjin,China,1053125,951,2.15
513,Nnewi,Nigeria,1050860,989343,6.22
514,Antwerp,Belgium,1042471,373,0.50
515,Oslo,Norway,1041377,26758,1.42
516,Luohe,China,1039941,982185,5.88
517,Diyarbakir,Turkey,1039492,18977,2.01
518,Bishkek,Kyrgyzstan,1038429,17166,2.09
519,Jingzhou Hubei,China,1038296,22741,1.52
520,Wenling,China,1037164,015,3.30
521,Fuyang,China,1036162,06913,2.90
522,Solapur,India,1031037,21948,0.89
523,Shangrao,China,1028518,015,2.67
524,San Jose,United States,1027690,276,0.00
525,Kermanshah,Iran,1025740,04561,2.11
526,Toulouse,France,1024166,593,1.34
527,Johor Bahru,Malaysia,1023900,03485,2.03
528,Zhaoqing,China,1023777,996546,2.73
529,Teresina,Brazil,1021229,129,1.01
530,Siliguri,India,1020303,9836,3.73
531,Ma'anshan,China,1019389,986525,3.33
532,Mersin,Turkey,1016019,997131,1.89
533,Bien Hoa,Vietnam,1013064,9581,3.31
534,Bujumbura,Burundi,1012996,954424,6.14
535,Kirkuk,Iraq,1012614,99,1.66
536,Samarinda,Indonesia,1010413,979359,3.17
537,Rotterdam,Netherlands,1010026,08667,0.13
538,Yueyang,China,1009534,9933,1.05
539,Aracaju,Brazil,1009380,991254,1.83
540,Odesa,Ukraine,1009289,293,-0.10
541,Volgograd,Russia,1004688,09238,-0.45
542,Marrakech,Morocco,1002709,988968,1.39
543,Tampico,Mexico,1001278,986228,1.53
544,Austin,United States,995347,9788,1.68
545,Bazhong,China,991820,924575,7.27
546,Fuzhou Jiangxi,China,989880,91,4.18
547,Hargeysa,Somalia,988716,9458,4.53
548,Huzhou,China,988351,9993,2.85
549,Leshan,China,986923,9555,3.77
550,Denpasar,Indonesia,986853,965359,2.23
551,Dezhou,China,986192,9524,3.52
552,San Miguel De Tucuman,Argentina,985656,97,1.50
553,Saltillo,Mexico,983784,9662,1.76
554,Valparaiso,Chile,983751,975179,0.88
555,Aden,Yemen,980455,9374,3.17
556,Padang,Indonesia,980455,964358,1.67
557,Cebu City,Philippines,980070,967436,1.31
558,Acapulco De Juarez,Mexico,979381,966958,1.28
559,Kayseri,Turkey,973506,9262,1.38
560,Bobo Dioulasso,Burkina Faso,972124,9243,5.17
561,Xiongan,China,969535,892142,8.67
562,Bordeaux,France,968993,957383,1.21
563,Xuchang,China,968135,9373,3.65
564,Songkhla,Thailand,966597,953612,1.36
565,Asmara,Eritrea,962985,928758,3.69
566,Nonthaburi,Thailand,962694,949762,1.36
567,Chenzhou,China,959881,914372,4.98
568,Warangal,India,959658,9365,2.47
569,Dnipro,Ukraine,957345,963113,-0.60
570,Krasnodar,Russia,957214,938135,2.03
571,Khulna,Bangladesh,953745,962845,-0.95
572,Ilorin,Nigeria,949866,928632,2.29
573,Jixi Heilongjiang,China,949646,936975,1.35
574,Morelia,Mexico,948793,9374,1.36
575,Sekondi Takoradi,Ghana,945519,,5.05
576,Cancun,Mexico,943922,9158,3.15
577,Seongnam,South Korea,943768,945746,-0.21
578,Qujing,China,942342,7828,3.80
579,Nice,France,942208,9410,0.04
580,Changshu,China,938683,8940,4.93
581,Ikorodu,Nigeria,937615,8872,5.68
582,Xintai,China,936382,55,3.41
583,Cucuta,Colombia,933380,9247,1.12
584,Blantyre Limbe,Malawi,932263,4758,3.04
585,Jerusalem,Israel,931756,9197,1.34
586,Pingxiang Jiangxi,China,928895,4694,2.68
587,Southampton,United Kingdom,927916,919843,0.88
588,Fort Worth,United States,925954,9585,1.80
