Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,14.9443137254902,21.6107308377897,35.1819251336898,36.7626024955437,38.3747950089127,40.0098395721925,41.6601782531194,43.321889483066,44.9911229946524,46.6657397504456,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,22.362900990099,22.6971881188119,31.8215049504951,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,37.0175513092711,32.9555319650861,31.3149091766926,31.2030195800896,30.3196917414309,30.2402806533241,30.26011042098,30.2689210950081,30.3055900621118,30.4112491373361,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Eswatini,SWZ,47.8151162790698,58.455523255814,62.3274418604651,62.7493023255814,63.1883139534884,63.664011627907,64.1886046511628,64.766511627907,65.3926162790698,66.0576162790698,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,47.887865,66.224804,90.139927,92.726971,95.385785,98.094253,100.835458,103.603501,106.400024,109.224559,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Faroe Islands,FRO,33.8638953675585,33.4777922325771,34.2571618260091,34.2714884729471,34.3065887579455,34.355299357535,34.4204856011033,34.5078781474256,34.6210586582365,34.7399698278226,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,39.8781061850027,44.3900383141762,47.2604816639299,47.3491516146689,47.3786535303777,47.4249042145594,47.5438970990695,47.7503557744937,48.0273125342091,48.3570333880679,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,16.3709609639187,16.9940214714863,17.7309947678436,17.8155615518773,17.8978314521702,17.9720030274112,18.0301108880919,18.0820078312658,18.1244908031983,18.1485472672831,..,..
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,106.353746102247,111.242096161892,119.335121151416,119.914109283287,120.53300011079,121.105324096186,121.536703849107,121.857824759823,122.114008137994,122.299437237519,..,..
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,54.6188524590164,65.7612021857924,73.1415300546448,73.4967213114754,73.8601092896175,74.2363387978142,74.624043715847,75.0204918032787,75.4379781420765,75.8685792349727,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,3.68489928978927,4.76718283075251,6.53795552450809,6.79039857181666,7.0519307641557,7.31090154073039,7.55883882485349,7.79242053789731,8.01343967089688,8.22476423332169,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,94.426185770751,130.207806324111,182.623221343874,188.242193675889,194.042588932806,200.004150197628,206.112648221344,212.365513833992,218.764229249012,225.30652173913,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,84.0127366247944,71.3308898141992,65.7203016200707,65.238006928164,65.0419538822212,65.0725007872914,65.1750586094685,65.2140557752196,65.2227859617201,65.197330207495,65.0477623429791,..
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,227.517053819494,235.596813297034,230.304633348634,230.750625466231,231.155712565925,232.108053883634,234.153668555637,235.712929356538,236.595494618731,237.30759674834,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,64.9260657466819,84.7273270633735,111.574712138525,114.250017579327,116.936107937066,119.646971960974,122.392568339633,125.173358530368,127.983963259207,130.821429199262,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Gibraltar,GIB,2914.7,3107.7,3361.2,3364.6,3369.2,3372.5,3373.6,3373.7,3372.8,3371.8,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,79.1062218774244,83.83093871218,86.1512723041117,85.6866640806827,85.067579519007,84.5028161365399,83.947889837083,83.5994647013189,83.4342823894492,83.2651823118697,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Greenland,GRL,0.162715832601697,0.136922889511512,0.138603971251066,0.138409063223292,0.137612376659764,0.137154342794494,0.136713363381654,0.136888780606651,0.136854671701791,0.136491655500061,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,283.326470588235,302.45,314.105882352941,316.017647058824,318.147058823529,320.3,322.35,324.297058823529,326.1,327.805882352941,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,241.633333333333,287.646296296296,295.725925925926,296.288888888889,297.05,298.177777777778,299.727777777778,301.761111111111,304.224074074074,306.977777777778,..,..
